2.019058e+01	2.012999e+01	2.014357e+01	2.021562e+01	2.020768e+01	2.009748e+01	2.014210e+01	2.016660e+01	2.019227e+01	2.017404e+01	2.015548e+01	2.016875e+01	2.015228e+01	2.016277e+01	2.020304e+01	2.016666e+01	2.018666e+01	2.020275e+01	2.014068e+01	2.019614e+01	2.018176e+01	2.016826e+01	2.016002e+01	2.014302e+01	2.018288e+01	2.015081e+01	2.017300e+01	2.019763e+01	2.020471e+01	2.016766e+01	2.018891e+01	2.016058e+01	2.015924e+01	2.012941e+01	2.021200e+01	2.022582e+01	2.017920e+01	2.019230e+01	2.017447e+01	2.017174e+01	2.017527e+01	2.015729e+01	2.017461e+01	2.018514e+01	2.016251e+01	2.015529e+01	2.018657e+01	2.017723e+01	2.016083e+01	2.020405e+01
2.018607e+01	2.013590e+01	2.014279e+01	2.021789e+01	2.017955e+01	2.010532e+01	2.014252e+01	2.016953e+01	2.018389e+01	2.017139e+01	2.017482e+01	2.016845e+01	2.014092e+01	2.017036e+01	2.019794e+01	2.017533e+01	2.019241e+01	2.019825e+01	2.012869e+01	2.019752e+01	2.020197e+01	2.017643e+01	2.017875e+01	2.016983e+01	2.017765e+01	2.015586e+01	2.018257e+01	2.020455e+01	2.020790e+01	2.016809e+01	2.019298e+01	2.017277e+01	2.017279e+01	2.014860e+01	2.022917e+01	2.021217e+01	2.018321e+01	2.017644e+01	2.015563e+01	2.018023e+01	2.018030e+01	2.016974e+01	2.015902e+01	2.020281e+01	2.015603e+01	2.016904e+01	2.019968e+01	2.017839e+01	2.015767e+01	2.019357e+01
2.018848e+01	2.014738e+01	2.014742e+01	2.021519e+01	2.019471e+01	2.010317e+01	2.013589e+01	2.018094e+01	2.017275e+01	2.018523e+01	2.018207e+01	2.015879e+01	2.014396e+01	2.017180e+01	2.018961e+01	2.018352e+01	2.019732e+01	2.020301e+01	2.013980e+01	2.020794e+01	2.020019e+01	2.015497e+01	2.018002e+01	2.016209e+01	2.018423e+01	2.016222e+01	2.018324e+01	2.022450e+01	2.021202e+01	2.014892e+01	2.018657e+01	2.016682e+01	2.015908e+01	2.014217e+01	2.021585e+01	2.023138e+01	2.018067e+01	2.019913e+01	2.017747e+01	2.017901e+01	2.018778e+01	2.015953e+01	2.018000e+01	2.018760e+01	2.016006e+01	2.015109e+01	2.018761e+01	2.016633e+01	2.016940e+01	2.018895e+01
2.020969e+01	2.013211e+01	2.012977e+01	2.023434e+01	2.017339e+01	2.008765e+01	2.014882e+01	2.017228e+01	2.018055e+01	2.017794e+01	2.016634e+01	2.016301e+01	2.014458e+01	2.016527e+01	2.019258e+01	2.018282e+01	2.018514e+01	2.018710e+01	2.012990e+01	2.019640e+01	2.018926e+01	2.016653e+01	2.017083e+01	2.015956e+01	2.018612e+01	2.016760e+01	2.018693e+01	2.020297e+01	2.021388e+01	2.016649e+01	2.020688e+01	2.018420e+01	2.014948e+01	2.013662e+01	2.020954e+01	2.022431e+01	2.015723e+01	2.019373e+01	2.016756e+01	2.018797e+01	2.018384e+01	2.017103e+01	2.017383e+01	2.020468e+01	2.014794e+01	2.014909e+01	2.020571e+01	2.017480e+01	2.017296e+01	2.017932e+01
2.018663e+01	2.013450e+01	2.014832e+01	2.021679e+01	2.018856e+01	2.009622e+01	2.014197e+01	2.015937e+01	2.017165e+01	2.017871e+01	2.016783e+01	2.018629e+01	2.013310e+01	2.015583e+01	2.020553e+01	2.016665e+01	2.017581e+01	2.019618e+01	2.012902e+01	2.019088e+01	2.019332e+01	2.016595e+01	2.018184e+01	2.016371e+01	2.017498e+01	2.015615e+01	2.019398e+01	2.021553e+01	2.021828e+01	2.018026e+01	2.018498e+01	2.015654e+01	2.016859e+01	2.014208e+01	2.021298e+01	2.021142e+01	2.019205e+01	2.020460e+01	2.017152e+01	2.017086e+01	2.017661e+01	2.017049e+01	2.017848e+01	2.019362e+01	2.015826e+01	2.016222e+01	2.020742e+01	2.017868e+01	2.015312e+01	2.018188e+01
2.017108e+01	2.014554e+01	2.014384e+01	2.020501e+01	2.018975e+01	2.010731e+01	2.015054e+01	2.017803e+01	2.019365e+01	2.015960e+01	2.016762e+01	2.015204e+01	2.014180e+01	2.016226e+01	2.018102e+01	2.017763e+01	2.019548e+01	2.018233e+01	2.013227e+01	2.019348e+01	2.019893e+01	2.017468e+01	2.017976e+01	2.016315e+01	2.016347e+01	2.015093e+01	2.017038e+01	2.021742e+01	2.020678e+01	2.018746e+01	2.018967e+01	2.014746e+01	2.016097e+01	2.014324e+01	2.020771e+01	2.022640e+01	2.017699e+01	2.017534e+01	2.014585e+01	2.018715e+01	2.016891e+01	2.016297e+01	2.014751e+01	2.019656e+01	2.017925e+01	2.017044e+01	2.020247e+01	2.018377e+01	2.016213e+01	2.021507e+01
2.019607e+01	2.012752e+01	2.014978e+01	2.022088e+01	2.018964e+01	2.007899e+01	2.014134e+01	2.017527e+01	2.018232e+01	2.016793e+01	2.016773e+01	2.017476e+01	2.015549e+01	2.016787e+01	2.020492e+01	2.017621e+01	2.018552e+01	2.019556e+01	2.014030e+01	2.018847e+01	2.018064e+01	2.016724e+01	2.015495e+01	2.017239e+01	2.018088e+01	2.015353e+01	2.017814e+01	2.021461e+01	2.020693e+01	2.016127e+01	2.017493e+01	2.016578e+01	2.015380e+01	2.014476e+01	2.020659e+01	2.022306e+01	2.018970e+01	2.018007e+01	2.014942e+01	2.018283e+01	2.016409e+01	2.016133e+01	2.018865e+01	2.019716e+01	2.017259e+01	2.016163e+01	2.019269e+01	2.018914e+01	2.015507e+01	2.020038e+01
2.020581e+01	2.013274e+01	2.014585e+01	2.021052e+01	2.017428e+01	2.010112e+01	2.014461e+01	2.017420e+01	2.019491e+01	2.014847e+01	2.017013e+01	2.015635e+01	2.013771e+01	2.016339e+01	2.019871e+01	2.018176e+01	2.017789e+01	2.020474e+01	2.012545e+01	2.020933e+01	2.019614e+01	2.017003e+01	2.017389e+01	2.015417e+01	2.019523e+01	2.015119e+01	2.018037e+01	2.020769e+01	2.021522e+01	2.017097e+01	2.017537e+01	2.017836e+01	2.015290e+01	2.014502e+01	2.019727e+01	2.023788e+01	2.018011e+01	2.019738e+01	2.017322e+01	2.019255e+01	2.018215e+01	2.015955e+01	2.018013e+01	2.018503e+01	2.015917e+01	2.016215e+01	2.019716e+01	2.017917e+01	2.015596e+01	2.020177e+01
2.019773e+01	2.014309e+01	2.014071e+01	2.020789e+01	2.019325e+01	2.010510e+01	2.014851e+01	2.017577e+01	2.018461e+01	2.018512e+01	2.018328e+01	2.016920e+01	2.014035e+01	2.016999e+01	2.017838e+01	2.016402e+01	2.019595e+01	2.018705e+01	2.013468e+01	2.019187e+01	2.018994e+01	2.017213e+01	2.017290e+01	2.017198e+01	2.017461e+01	2.015262e+01	2.018143e+01	2.021538e+01	2.020267e+01	2.015641e+01	2.018593e+01	2.015604e+01	2.013134e+01	2.015674e+01	2.020682e+01	2.022394e+01	2.016384e+01	2.018148e+01	2.015472e+01	2.016180e+01	2.018600e+01	2.014953e+01	2.019055e+01	2.017744e+01	2.016932e+01	2.015912e+01	2.018659e+01	2.017443e+01	2.016816e+01	2.019385e+01
2.017797e+01	2.011682e+01	2.015995e+01	2.021803e+01	2.020878e+01	2.011871e+01	2.014969e+01	2.016823e+01	2.019959e+01	2.017678e+01	2.016366e+01	2.015353e+01	2.013898e+01	2.014878e+01	2.021120e+01	2.018763e+01	2.019364e+01	2.019699e+01	2.014266e+01	2.020605e+01	2.019311e+01	2.016434e+01	2.018052e+01	2.015488e+01	2.018092e+01	2.015732e+01	2.018028e+01	2.019159e+01	2.021428e+01	2.018611e+01	2.017566e+01	2.017751e+01	2.016077e+01	2.014460e+01	2.019904e+01	2.022157e+01	2.020209e+01	2.017923e+01	2.015298e+01	2.019115e+01	2.019148e+01	2.017163e+01	2.018518e+01	2.017463e+01	2.016157e+01	2.016005e+01	2.020326e+01	2.017343e+01	2.016480e+01	2.019266e+01
